,index,drug label,event intervention,other event intervention,event comparator,other event comparator,ROR,SE_logROR,CI95_low,CI95_high,IC,IC_025,IC_975
16,Pulmonary hypertension,BAMLANIVIMAB vs All others,4,2741,35,31750,1.3238129983843228,0.5281739817411553,0.4701493839604682,3.7274979282726144,0.3217888318879889,-1.4433592070739851,1.4007814016985725
17,Torsade de pointes/QT prolongation,BAMLANIVIMAB vs All others,11,2734,1103,30682,0.11191861525493087,0.30366769019757267,0.061718472903498744,0.20295020034222483,-2.9531217950557767,-3.9775228643406706,-2.258221445177914
18,total CVAE,BAMLANIVIMAB+ETESEVIMAB vs All others,121,1133,3784,29492,0.8323549333935425,0.09718669382411474,0.6879891260120382,1.007014077621404,-0.22813084361244768,-0.529006286945623,-0.01077176294663967
19,Cardiac arrhythmias ,BAMLANIVIMAB+ETESEVIMAB vs All others,23,1231,2015,31261,0.28986621460089135,0.21170468868206627,0.19142159472446557,0.4389390992588524,-1.6648219216771567,-2.363116050527259,-1.1741287500527606
20,Cardiac failure,BAMLANIVIMAB+ETESEVIMAB vs All others,8,1246,283,32993,0.7485267343130527,0.3596754739796342,0.3698668187093981,1.5148487067221383,-0.3808634266250037,-1.5934593051032133,0.42215347792462593
21,Cardiomyopathy ,BAMLANIVIMAB+ETESEVIMAB vs All others,0,1254,68,33208,0.0,inf,0.0,,-2.5702223541774467,-12.89398135950104,-0.5903233668551138
22,Embolic and thrombotic events ,BAMLANIVIMAB+ETESEVIMAB vs All others,35,1219,1173,32103,0.78579985691177,0.17399838439460624,0.5587294080341367,1.1051528812402012,-0.3217663760236581,-0.885081637099999,0.07867678480862111
23,Hypertension,BAMLANIVIMAB+ETESEVIMAB vs All others,54,1200,512,32764,2.8796484374999998,0.14606675924289533,2.16274309692339,3.8341933146810216,1.3720936520381302,0.920114344992689,1.6959479479304644
24,Ischaemic heart disease ,BAMLANIVIMAB+ETESEVIMAB vs All others,11,1243,266,33010,1.0982101270876308,0.3090360634051694,0.5992784163576949,2.0125294859909633,0.12307862756761734,-0.9013224417172767,0.8179789774454804
25,Pulmonary hypertension,BAMLANIVIMAB+ETESEVIMAB vs All others,0,1254,39,33237,0.0,inf,0.0,,-1.9383487480555508,-12.262107753379144,0.04155023926678214
26,Torsade de pointes/QT prolongation,BAMLANIVIMAB+ETESEVIMAB vs All others,2,1252,1112,32164,0.04620520835727584,0.7083283795533211,0.011527885229161554,0.18519626426698474,-4.034085348092706,-6.627153029430777,-2.642683177618619
27,total CVAE,SOTROVIMAB vs All others,67,1383,3838,29242,0.36910907668001647,0.12626634029567124,0.2881871726686513,0.47275355535765134,-1.2849579951341028,-1.6902276076420404,-0.9937408987157182
28,Cardiac arrhythmias ,SOTROVIMAB vs All others,16,1434,2022,31058,0.17138119458619067,0.25243634392635106,0.10449247398357536,0.28108736197026496,-2.3832230228137727,-3.225467224726904,-1.7998439564753594
29,Cardiac failure,SOTROVIMAB vs All others,8,1442,283,32797,0.6429429090926913,0.35952404756045325,0.3177893680604062,1.300784815035087,-0.5815422453190693,-1.7941381237972789,0.22147465923056037
30,Cardiomyopathy ,SOTROVIMAB vs All others,0,1450,68,33012,0.0,inf,0.0,,-2.7465225897478023,-13.070281595071396,-0.7666236024254693
31,Embolic and thrombotic events ,SOTROVIMAB vs All others,19,1431,1189,31891,0.3561231860420968,0.23281492793473063,0.22564420406940935,0.5620517671163503,-1.393427582283448,-2.1639566203910783,-0.8557411547870913
32,Hypertension,SOTROVIMAB vs All others,25,1425,541,32539,1.0551934364562052,0.20635143705194214,0.7041775771161356,1.5811823956397066,0.07145759436862956,-0.5975715101603154,0.5428454834563482
33,Ischaemic heart disease ,SOTROVIMAB vs All others,6,1444,271,32809,0.5030460692418559,0.4136178233397052,0.22362953500020427,1.1315828554553446,-0.9002955859577159,-2.315348930262459,0.010890149607385394
34,Pulmonary hypertension,SOTROVIMAB vs All others,0,1450,39,33041,0.0,inf,0.0,,-2.096063682997909,-12.419822688321503,-0.11616469567557597
35,Torsade de pointes/QT prolongation,SOTROVIMAB vs All others,0,1450,1114,31966,0.0,inf,0.0,,-6.563146288893153,-16.886905294216746,-4.58324730157082
36,total CVAE,TOCILIZUMAB vs All others,197,2587,3708,28038,0.5758072163155834,0.07594763526357878,0.49616847959971555,0.6682285634681641,-0.6750680906377927,-0.9106061279938692,-0.5044718983806574
37,Cardiac arrhythmias ,TOCILIZUMAB vs All others,50,2734,1988,29758,0.2737529787356178,0.14457657820423764,0.20620195838026198,0.36343347054165065,-1.7064910019956412,-2.176438431376883,-1.3701574429899137
38,Cardiac failure,TOCILIZUMAB vs All others,20,2764,271,31475,0.8404045690239825,0.23255881545990476,0.5327584475647529,1.3257036896642407,-0.2251264064051387,-0.9755220933429983,0.29955801504315654
39,Cardiomyopathy ,TOCILIZUMAB vs All others,3,2781,65,31681,0.525782092772384,0.5908545474666417,0.16514302912201798,1.6739841248512624,-0.7734024740946243,-2.84276809004511,0.43309113225289153
40,Embolic and thrombotic events ,TOCILIZUMAB vs All others,129,2655,1079,30667,1.3809407120005446,0.09533088806519606,1.145586120526818,1.6646476558074959,0.4036353500948111,0.11229085632407029,0.6141959566327426
41,Hypertension,TOCILIZUMAB vs All others,25,2759,541,31205,0.5226551450839095,0.20553083745521813,0.34935249497718485,0.7819277223153146,-0.8553349312715675,-1.5243640358005124,-0.3839470421838488
42,Ischaemic heart disease ,TOCILIZUMAB vs All others,13,2771,264,31482,0.5594550703717069,0.2847869386790794,0.3201471780737414,0.9776440250006475,-0.7581784204289539,-1.6966454782606983,-0.11506136038958456
43,Pulmonary hypertension,TOCILIZUMAB vs All others,2,2782,37,31709,0.6161035226455788,0.726235511005329,0.14841218018537547,2.557630715633779,-0.5437517061481469,-3.1368193874862182,0.8476504643259399
44,Torsade de pointes/QT prolongation,TOCILIZUMAB vs All others,7,2777,1107,30639,0.06976685179167239,0.37967515614412173,0.03314844104499474,0.1468368784617742,-3.590032747496541,-4.892395273119936,-2.7380198802662825
45,total CVAE,BEBTELOVIMAB vs All others,34,209,3871,30416,1.278237513889936,0.18570854130761244,0.8882459939304675,1.8394579351668052,0.30215470690087093,-0.26954424433623636,0.7082904314309868
46,Cardiac arrhythmias ,BEBTELOVIMAB vs All others,7,236,2031,32256,0.47107127656911096,0.3842106209728527,0.22184004313638891,1.000306998101425,-0.9847363546881676,-2.2870988803115626,-0.13272348745790924
47,Cardiac failure,BEBTELOVIMAB vs All others,0,243,291,33996,0.0,inf,0.0,,-2.3492924707066773,-12.67305147603027,-0.3693934833843444
48,Cardiomyopathy ,BEBTELOVIMAB vs All others,0,243,68,34219,0.0,inf,0.0,,-0.9687033197614577,-11.29246232508505,1.011195667560875
49,Embolic and thrombotic events ,BEBTELOVIMAB vs All others,3,240,1205,33082,0.3431742738589212,0.5816872900770462,0.10974190784690387,1.073141378249881,-1.362751118662639,-3.4321167346131247,-0.15625751231512333
50,Hypertension,BEBTELOVIMAB vs All others,23,220,543,33744,6.496835760924158,0.2233718221692851,4.193377440326047,10.065603563017483,2.3900776605639518,1.6917835317138494,2.8807708321883476
51,Ischaemic heart disease ,BEBTELOVIMAB vs All others,3,240,274,34013,1.5516879562043797,0.584105329165747,0.49386004938794326,4.875339717018433,0.5149569261567831,-1.5544086897937026,1.7214505325042988
52,Pulmonary hypertension,BEBTELOVIMAB vs All others,0,243,39,34248,0.0,inf,0.0,,-0.6312570325930617,-10.955016037916655,1.3486419547292712
53,Torsade de pointes/QT prolongation,BEBTELOVIMAB vs All others,1,242,1113,33174,0.12316499966585731,1.002527230597897,0.01726310465396792,0.8787305323555401,-2.475018753364185,-6.258119578329316,-0.7875924861135515
54,total CVAE,TIXAGEVIMAB+CILGAVIMAB vs All others,9,65,3896,30560,1.0860843468646344,0.3560689856195132,0.5404699036614834,2.182506741842917,0.09921057297713148,-1.0397545627514853,0.8607974553383956
55,Cardiac arrhythmias ,TIXAGEVIMAB+CILGAVIMAB vs All others,1,73,2037,32419,0.21801467374126604,1.0070850978256212,0.030285697746952465,1.569400789892433,-1.6982375767192295,-5.4813384016843605,-0.010811309468595764
56,Cardiac failure,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,291,34165,0.0,inf,0.0,,-1.1681691348800562,-11.491928140203651,0.8117298524422767
57,Cardiomyopathy ,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,68,34388,0.0,inf,0.0,,-0.3689992783634473,-10.692758283687041,1.6108997089588855
58,Embolic and thrombotic events ,TIXAGEVIMAB+CILGAVIMAB vs All others,5,69,1203,33253,2.003023841362777,0.46406258337986844,0.8066183040252212,4.973981484236496,0.8323752037125399,-0.729804590674933,1.816974875609359
59,Hypertension,TIXAGEVIMAB+CILGAVIMAB vs All others,1,73,565,33891,0.8216995999515092,1.007719230738419,0.11400532819273439,5.92244453188198,-0.1915409429977263,-3.974641767962857,1.4958853242529073
60,Ischaemic heart disease ,TIXAGEVIMAB+CILGAVIMAB vs All others,3,71,274,34182,5.27120386552894,0.5925341598385865,1.6501922902430801,16.83778936324706,1.6782318752037992,-0.3911337407466867,2.884725481551315
61,Pulmonary hypertension,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,39,34417,0.0,inf,0.0,,-0.22300110055416095,-10.546760105877755,1.756897886768172
62,Torsade de pointes/QT prolongation,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,1114,33342,0.0,inf,0.0,,-2.529757640721096,-12.853516646044689,-0.5498586533987633
