,index,drug label,event intervention,other event intervention,event comparator,other event comparator,ROR,SE_logROR,CI95_low,CI95_high,IC,IC_025
48,total CVAE,SOTROVIMAB vs All others,67,1383,3838,29242,0.36910907668001647,0.12626634029567124,0.2881871726686513,0.47275355535765134,-0.8906650114651633,-1.295934623973101
49,"Arrhythmia related investigations, signs and symptoms",SOTROVIMAB vs All others,0,1450,5,33075,0.0,inf,0.0,,-0.35060384426124086,-10.674362849584835
50,Bradyarrhythmias (incl conduction defects and disorders of sinus node function),SOTROVIMAB vs All others,1,1449,1243,31837,0.017676351266193515,1.0007627322941528,0.0024861434741319526,0.1256779414932823,-3.5598831542537592,-7.34298397921889
51,"Cardiac arrhythmia terms, nonspecific ",SOTROVIMAB vs All others,5,1445,176,32904,0.6469015413652093,0.45431734629670434,0.26553113603307144,1.5760170745797677,-0.3871946240177046,-1.9493744184051776
52,Cardiac failure,SOTROVIMAB vs All others,8,1442,283,32797,0.6429429090926913,0.35952404756045325,0.3177893680604062,1.300784815035087,-0.4030943677194129,-1.6156902461976226
53,Cardiomyopathy ,SOTROVIMAB vs All others,0,1450,68,33012,0.0,inf,0.0,,-1.9037443894278885,-12.227503394751484
54,Congenital and neonatal arrhythmias,SOTROVIMAB vs All others,0,1450,10,33070,0.0,inf,0.0,,-0.6096837238765409,-10.933442729200134
55,"Embolic and thrombotic events, arterial ",SOTROVIMAB vs All others,9,1441,292,32788,0.7013109237306665,0.33949997074288024,0.36051421567577174,1.3642652365927619,-0.3243489376093825,-1.4633140733379992
56,"Embolic and thrombotic events, venous",SOTROVIMAB vs All others,6,1444,566,32514,0.23869209009132467,0.41128667359473886,0.10659669581055552,0.53448104970739,-1.3276744145351058,-2.7427277588398487
57,"Embolic and thrombotic events, vessel type unspecified and mixed arterial and venous ",SOTROVIMAB vs All others,7,1443,449,32631,0.3525459672452991,0.3818480859548112,0.16679387503084497,0.7451632081689988,-0.9631013616229354,-2.2654638872463306
58,Hypertension,SOTROVIMAB vs All others,25,1425,541,32539,1.0551934364562052,0.20635143705194214,0.7041775771161356,1.5811823956397066,0.0495306300662118,-0.6194984744627331
59,Myocardial infarction,SOTROVIMAB vs All others,4,1446,231,32849,0.3933705759431901,0.5050257514109975,0.14618919458618276,1.0584941688467482,-0.8346689767861089,-2.5998170157480827
60,Other ischaemic heart disease,SOTROVIMAB vs All others,2,1448,59,33021,0.7730358647813466,0.7194929075647651,0.18869262068750078,3.1669730700699783,-0.20262755060077606,-2.795695231938847
61,Pulmonary hypertension,SOTROVIMAB vs All others,0,1450,39,33041,0.0,inf,0.0,,-1.4528806321440955,-11.776639637467689
62,Tachyarrhythmias (incl supraventricular and ventricular tachyarrhythmias) ,SOTROVIMAB vs All others,12,1438,819,32261,0.3287125484622007,0.2920286664450316,0.1854541106944837,0.5826343730634204,-1.0408629096257638,-2.0194986947879454
63,Torsade de pointes/QT prolongation,SOTROVIMAB vs All others,0,1450,1114,31966,0.0,inf,0.0,,-4.549226345748757,-14.872985351072352
64,total CVAE,TOCILIZUMAB vs All others,197,2587,3708,28038,0.5758072163155834,0.07594763526357878,0.49616847959971555,0.6682285634681641,-0.46792154371157163,-0.703459581067648
65,"Arrhythmia related investigations, signs and symptoms",TOCILIZUMAB vs All others,1,2783,4,31742,2.8514193316564858,1.1182087588956744,0.31858298577819744,25.521112450760217,0.5073564095319794,-3.2757444154331514
66,Bradyarrhythmias (incl conduction defects and disorders of sinus node function),TOCILIZUMAB vs All others,10,2774,1234,30512,0.08913516223230529,0.3181251908114143,0.04778102147986484,0.16628102330393835,-2.261744998107258,-3.338929336414052
67,"Cardiac arrhythmia terms, nonspecific ",TOCILIZUMAB vs All others,12,2772,169,31577,0.8088578088578089,0.29940426195524034,0.44979448865392835,1.4545552945928515,-0.18851720964424135,-1.167152994806423
68,Cardiac failure,TOCILIZUMAB vs All others,20,2764,271,31475,0.8404045690239825,0.23255881545990476,0.5327584475647529,1.3257036896642407,-0.1560457338693143,-0.9064414208071739
69,Cardiomyopathy ,TOCILIZUMAB vs All others,3,2781,65,31681,0.525782092772384,0.5908545474666417,0.16514302912201798,1.6739841248512624,-0.5360817443567749,-2.6054473603072608
70,Congenital and neonatal arrhythmias,TOCILIZUMAB vs All others,0,2784,10,31736,0.0,inf,0.0,,-0.9603117742666464,-11.284070779590241
71,"Embolic and thrombotic events, arterial ",TOCILIZUMAB vs All others,27,2757,274,31472,1.1248659682453952,0.20268487719369346,0.7560872721764818,1.6735150730341957,0.10462186146615386,-0.5385319941886002
72,"Embolic and thrombotic events, venous",TOCILIZUMAB vs All others,50,2734,522,31224,1.093929991843873,0.14937703942080868,0.8162763736666296,1.4660265391244385,0.07999066646462888,-0.3899567629166135
73,"Embolic and thrombotic events, vessel type unspecified and mixed arterial and venous ",TOCILIZUMAB vs All others,56,2728,400,31346,1.60866568914956,0.14406808726836032,1.2129211452754292,2.133531359006353,0.4161794452474082,-0.027555334689058932
74,Hypertension,TOCILIZUMAB vs All others,25,2759,541,31205,0.5226551450839095,0.20553083745521813,0.34935249497718485,0.7819277223153146,-0.5928729960453216,-1.2619021005742665
75,Myocardial infarction,TOCILIZUMAB vs All others,11,2773,224,31522,0.5582240739786719,0.30946037026673423,0.3043621034435062,1.0238269260324835,-0.5253459151808466,-1.5497469844657406
76,Other ischaemic heart disease,TOCILIZUMAB vs All others,3,2781,58,31688,0.5893687460476881,0.5924237108818193,0.1845465193030486,1.8822111635030234,-0.4369929595646608,-2.5063585755151467
77,Pulmonary hypertension,TOCILIZUMAB vs All others,2,2782,37,31709,0.6161035226455788,0.726235511005329,0.14841218018537547,2.557630715633779,-0.3768999620412479,-2.969967643379319
78,Tachyarrhythmias (incl supraventricular and ventricular tachyarrhythmias) ,TOCILIZUMAB vs All others,32,2752,799,30947,0.4503740140291643,0.18137599030314086,0.3156334079895927,0.6426339778311109,-0.7308849342884252,-1.3205377872686892
79,Torsade de pointes/QT prolongation,TOCILIZUMAB vs All others,7,2777,1107,30639,0.06976685179167239,0.37967515614412173,0.03314844104499474,0.1468368784617742,-2.4884210770451016,-3.7907836026684967
80,total CVAE,BEBTELOVIMAB vs All others,34,209,3871,30416,1.278237513889936,0.18570854130761244,0.8882459939304675,1.8394579351668052,0.20943768318125536,-0.36226126805585196
81,"Arrhythmia related investigations, signs and symptoms",BEBTELOVIMAB vs All others,0,243,5,34282,0.0,inf,0.0,,-0.06800773537158236,-10.391766740695175
82,Bradyarrhythmias (incl conduction defects and disorders of sinus node function),BEBTELOVIMAB vs All others,2,241,1242,33045,0.2207990057530018,0.7106228200224701,0.054840670671219165,0.8889789337879063,-1.3088164183853443,-3.901884099723415
83,"Cardiac arrhythmia terms, nonspecific ",BEBTELOVIMAB vs All others,2,241,179,34108,1.5813069380375067,0.7139784929583358,0.3901803678482831,6.408655684229239,0.34318804744556686,-2.2498796338925042
84,Cardiac failure,BEBTELOVIMAB vs All others,0,243,291,33996,0.0,inf,0.0,,-1.6284054523810414,-11.952164457704637
85,Cardiomyopathy ,BEBTELOVIMAB vs All others,0,243,68,34219,0.0,inf,0.0,,-0.6714539748917135,-10.995212980215307
86,Congenital and neonatal arrhythmias,BEBTELOVIMAB vs All others,0,243,10,34277,0.0,inf,0.0,,-0.13168346558091357,-10.455442470904508
87,"Embolic and thrombotic events, arterial ",BEBTELOVIMAB vs All others,1,242,300,33987,0.46814049586776857,1.0037404982130462,0.06545985665193725,3.3479377297847237,-0.5570391395477843,-4.340139964512915
88,"Embolic and thrombotic events, venous",BEBTELOVIMAB vs All others,2,241,570,33717,0.4908932081240446,0.7112899705376503,0.12176564602545792,1.9790158361409662,-0.5934084428624913,-3.1864761242005626
89,"Embolic and thrombotic events, vessel type unspecified and mixed arterial and venous ",BEBTELOVIMAB vs All others,0,243,456,33831,0.0,inf,0.0,,-2.0039190830112936,-12.327678088334888
90,Hypertension,BEBTELOVIMAB vs All others,23,220,543,33744,6.496835760924158,0.2233718221692851,4.193377440326047,10.065603563017483,1.656675591739213,0.9583814628891109
91,Myocardial infarction,BEBTELOVIMAB vs All others,3,240,232,34055,1.8348599137931036,0.5846705987915565,0.5833393209520003,5.771445164626343,0.48553884518206,-1.5838267707684262
92,Other ischaemic heart disease,BEBTELOVIMAB vs All others,0,243,61,34226,0.0,inf,0.0,,-0.6198007976257961,-10.943559802949391
93,Pulmonary hypertension,BEBTELOVIMAB vs All others,0,243,39,34248,0.0,inf,0.0,,-0.43755403235051815,-10.761313037674112
94,Tachyarrhythmias (incl supraventricular and ventricular tachyarrhythmias) ,BEBTELOVIMAB vs All others,4,239,827,33460,0.6771463119709794,0.5053940805873921,0.251467805080272,1.823402911038774,-0.3440695227664695,-2.1092175617284434
95,Torsade de pointes/QT prolongation,BEBTELOVIMAB vs All others,1,242,1113,33174,0.12316499966585731,1.002527230597897,0.01726310465396792,0.8787305323555401,-1.7155522707273756,-5.498653095692506
96,total CVAE,TIXAGEVIMAB+CILGAVIMAB vs All others,9,65,3896,30560,1.0860843468646344,0.3560689856195132,0.5404699036614834,2.182506741842917,0.06876752894083539,-1.0701976067877814
97,"Arrhythmia related investigations, signs and symptoms",TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,5,34451,0.0,inf,0.0,,-0.021204232846059642,-10.344963238169655
98,Bradyarrhythmias (incl conduction defects and disorders of sinus node function),TIXAGEVIMAB+CILGAVIMAB vs All others,1,73,1243,33213,0.3660278380850571,1.0072404102589658,0.05083159889724402,2.635690813583373,-0.7469948889649712,-4.530095713930102
99,"Cardiac arrhythmia terms, nonspecific ",TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,181,34275,0.0,inf,0.0,,-0.5742449262837657,-10.89800393160736
100,Cardiac failure,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,291,34165,0.0,inf,0.0,,-0.8097131422592614,-11.133472147582856
101,Cardiomyopathy ,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,68,34388,0.0,inf,0.0,,-0.25577080942627795,-10.579529814749872
102,Congenital and neonatal arrhythmias,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,10,34446,0.0,inf,0.0,,-0.041968166258883,-10.365727171582478
103,"Embolic and thrombotic events, arterial ",TIXAGEVIMAB+CILGAVIMAB vs All others,3,71,298,34158,4.843274411570092,0.5922860970783396,1.5169629441786987,15.463335551989822,1.117303953319331,-0.952061662631155
104,"Embolic and thrombotic events, venous",TIXAGEVIMAB+CILGAVIMAB vs All others,1,73,571,33885,0.812921334836744,1.0077100055102146,0.11278944194985799,5.8590687675052,-0.14024449799905728,-3.9233453229641877
105,"Embolic and thrombotic events, vessel type unspecified and mixed arterial and venous ",TIXAGEVIMAB+CILGAVIMAB vs All others,1,73,455,34001,1.023664007225651,1.007931467528655,0.14196747150581543,7.381183792136166,0.015291531766606973,-3.7678092931985234
106,Hypertension,TIXAGEVIMAB+CILGAVIMAB vs All others,1,73,565,33891,0.8216995999515092,1.007719230738419,0.11400532819273439,5.92244453188198,-0.1327660646006672,-3.9158668895657978
107,Myocardial infarction,TIXAGEVIMAB+CILGAVIMAB vs All others,3,71,232,34224,6.233122875182127,0.5930913963838205,1.9491986402057473,19.9322018678495,1.249149464527321,-0.8202161514231651
108,Other ischaemic heart disease,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,61,34395,0.0,inf,0.0,,-0.23226487192651601,-10.556023877250109
109,Pulmonary hypertension,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,39,34417,0.0,inf,0.0,,-0.1545725841108815,-10.478331589434475
110,Tachyarrhythmias (incl supraventricular and ventricular tachyarrhythmias) ,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,831,33625,0.0,inf,0.0,,-1.5177112260479577,-11.841470231371552
111,Torsade de pointes/QT prolongation,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,1114,33342,0.0,inf,0.0,,-1.7534943761658068,-12.0772533814894
